Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/P1-base/comienzapago,9250,139,68,321,521,1081,2,1183,0.000%,151.29954,293.86,0.00
/P1-base/procesapago,9250,165,94,371,566,1112,7,1238,0.000%,151.59958,185.78,0.00
TOTAL,18500,152,81,342,545,1095,2,1238,0.000%,292.51787,463.31,0.00
