Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/P1-base/comienzapago,30000,5039,1469,4945,18486,127235,2,141921,1.513%,138.62191,269.33,0.00
/P1-base/procesapago,30000,3834,1479,4343,11072,70612,5,158504,0.797%,138.48817,169.75,0.00
TOTAL,60000,4437,1475,4560,12069,127213,2,158504,1.155%,274.22303,434.46,0.00
